#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
3025.37127881	-1.7409784845678707e-15	-1.7409784845678707e-15	2.723252031436001e-15
3025.57126226	-6.222868150219355e-16	-6.222868150219355e-16	2.69708757864e-15
3025.77124571	3.5469109837483177e-15	3.5469109837483177e-15	2.934488130624e-15
3025.97122916	2.2496475398351843e-15	2.2496475398351843e-15	2.747586482596e-15
3026.17121261	-1.7144105532251404e-15	-1.7144105532251404e-15	2.438042576072e-15
3026.37119606	-1.9387498395129977e-15	-1.9387498395129977e-15	2.330382900595e-15
3026.57117951	-2.918878082455868e-15	-2.918878082455868e-15	2.424949575123e-15
3026.77116296	-2.8234395963059427e-15	-2.8234395963059427e-15	2.24151787338e-15
3026.97114641	-2.1962447212850117e-15	-2.1962447212850117e-15	2.248749103318001e-15
3027.17112986	-2.8799258447405833e-15	-2.8799258447405833e-15	2.146442632323001e-15
3027.37211322	-1.0866166681868418e-15	-1.0866166681868418e-15	2.182366847934e-15
3027.57209667	-1.7480028285626058e-15	-1.7480028285626058e-15	2.021266306204e-15
3027.77208012	3.8553212986988123e-16	3.8553212986988123e-16	2.277659535040001e-15
3027.97206357	1.7958572804032346e-15	1.7958572804032346e-15	2.303184670976e-15
3028.17204702	-3.4222078949838126e-15	-3.4222078949838126e-15	1.89879299722e-15
3028.37203047	-1.9010095393609183e-15	-1.9010095393609183e-15	1.869643784856e-15
3028.57201392	-3.9995387933766456e-16	-3.9995387933766456e-16	1.954949636598001e-15
3028.77199737	-1.647972053020169e-15	-1.647972053020169e-15	1.980932590152e-15
3028.97198082	1.7591596815440623e-15	1.7591596815440623e-15	2.136369638052001e-15
3029.17196427	-2.8773453103181e-15	-2.8773453103181e-15	1.745266347916e-15
3029.37194772	-6.555973772840412e-16	-6.555973772840412e-16	1.878942182732e-15
3029.57193117	-3.5179898481149824e-16	-3.5179898481149824e-16	1.851452734031999e-15
3029.77191462	-4.412130367052467e-16	-4.412130367052467e-16	1.788536134718e-15
3029.97189807	-1.0229757923354463e-15	-1.0229757923354463e-15	1.719471328011e-15
3030.17188152	-1.6675939887711476e-16	-1.6675939887711476e-16	1.648573657604e-15
3030.37186497	-9.590909287500456e-16	-9.590909287500456e-16	1.562402806643e-15
3030.57184842	-6.568090475948642e-16	-6.568090475948642e-16	1.598285477529e-15
3030.77183187	-2.410918042670884e-15	-2.410918042670884e-15	1.468388165718e-15
3030.97181532	-4.2169963734218946e-17	-4.2169963734218946e-17	1.538434179919e-15
3031.17179877	-1.2508953174178418e-15	-1.2508953174178418e-15	1.534902521643e-15
3031.37178222	-1.4465565831616117e-15	-1.4465565831616117e-15	1.521626814118e-15
3031.57176567	-9.864886566553351e-16	-9.864886566553351e-16	1.535521716572e-15
3031.77174912	-1.0672577103171646e-16	-1.0672577103171646e-16	1.476525076209e-15
3031.97173257	6.395891515755738e-16	6.395891515755738e-16	1.459252816252e-15
3032.17171602	1.0050331350039288e-15	1.0050331350039288e-15	1.5022334151e-15
3032.37169947	3.5788189996664515e-16	3.5788189996664515e-16	1.44381075905e-15
3032.57168292	-4.474322504181825e-16	-4.474322504181825e-16	1.282491572404e-15
3032.77166637	-9.83868396386081e-16	-9.83868396386081e-16	1.205175519366e-15
3032.97164982	-3.0095083681498956e-16	-3.0095083681498956e-16	1.227546984976e-15
3033.17163328	-1.4797272973620935e-15	-1.4797272973620935e-15	1.178851052905e-15
3033.37161673	-2.5708558414699043e-15	-2.5708558414699043e-15	1.1458121214e-15
3033.57260009	-1.9586237602352955e-15	-1.9586237602352955e-15	1.204206510039e-15
3033.77258354	1.112067256169871e-17	1.112067256169871e-17	1.27887532332e-15
3033.97256699	4.018866526813391e-16	4.018866526813391e-16	1.336072907817e-15
3034.17255044	-1.1098549724086304e-16	-1.1098549724086304e-16	1.23706917768e-15
3034.37253389	1.1209667689230538e-16	1.1209667689230538e-16	1.1631021864843e-15
3034.57251734	6.196412709546574e-16	6.196412709546574e-16	1.1830973982828e-15
3034.7725008	3.9837421624851545e-16	3.9837421624851545e-16	1.1551054506346e-15
3034.97248425	-6.602785331738526e-16	-6.602785331738526e-16	1.0532114115204e-15
3035.1724677	-1.2337550532215822e-15	-1.2337550532215822e-15	1.0260550586858e-15
3035.37245115	5.61505489179184e-16	5.61505489179184e-16	1.1743918306737e-15
3035.5724346	-7.554654633298167e-16	-7.554654633298167e-16	1.0888535982069e-15
3035.77241805	-2.0440127549933507e-16	-2.0440127549933507e-16	1.0322505850761e-15
3035.9724015	-2.554769555603563e-16	-2.554769555603563e-16	1.0701988993164e-15
3036.17238495	8.44736957506852e-16	8.44736957506852e-16	1.1142085045938e-15
3036.3723684	-1.0938947802790337e-15	-1.0938947802790337e-15	9.339403193841003e-16
3036.57235185	-2.5334074240151496e-16	-2.5334074240151496e-16	9.524768977791e-16
3036.7723353	5.270066772952623e-16	5.270066772952623e-16	1.0338040002873e-15
3036.97231875	6.037493797390589e-16	6.037493797390589e-16	1.0327076267566e-15
3037.1723022	-9.205107363582211e-17	-9.205107363582211e-17	9.969235043184e-16
3037.37228565	1.0032422867487581e-16	1.0032422867487581e-16	9.563300455926e-16
3037.5722691	-7.66605976713598e-16	-7.66605976713598e-16	9.16234938362e-16
3037.77225255	-5.791148696681487e-17	-5.791148696681487e-17	9.294583389629996e-16
3037.972236	-1.993975727540642e-16	-1.993975727540642e-16	9.536415700448004e-16
3038.17221945	3.5962290307527567e-16	3.5962290307527567e-16	9.887410991610002e-16
3038.37220291	1.1343313227320114e-16	1.1343313227320114e-16	9.086976705396e-16
3038.57218636	4.649834342095206e-16	4.649834342095206e-16	9.192577440787999e-16
3038.77216981	4.317272364517896e-16	4.317272364517896e-16	8.513475369823998e-16
3038.97215326	3.8982454912260875e-16	3.8982454912260875e-16	8.667692927243999e-16
3039.17213671	-1.5711620084972418e-16	-1.5711620084972418e-16	8.110333616e-16
3039.37212016	-8.35689428108515e-17	-8.35689428108515e-17	7.911281943979998e-16
3039.57310353	-1.7289935796599089e-16	-1.7289935796599089e-16	7.933810092119999e-16
3039.77308698	-4.729848585211933e-16	-4.729848585211933e-16	7.761955569026e-16
3039.97307043	-2.0858241007290166e-16	-2.0858241007290166e-16	8.136023191868002e-16
3040.17305388	-7.361636532011363e-16	-7.361636532011363e-16	7.419060929633997e-16
3040.37303733	4.1614680124785474e-16	4.1614680124785474e-16	8.067135201832998e-16
3040.57302078	-2.3961031535958386e-16	-2.3961031535958386e-16	7.288366100372999e-16
3040.77300423	-4.97441565135282e-16	-4.97441565135282e-16	7.068264537386001e-16
3040.97298768	2.9827212963181724e-16	2.9827212963181724e-16	7.600041757216999e-16
3041.17297114	1.0566138599873076e-16	1.0566138599873076e-16	7.237941949947e-16
3041.37295459	-1.954344358887987e-16	-1.954344358887987e-16	6.968651718506002e-16
3041.57293804	-3.953270223928788e-16	-3.953270223928788e-16	6.795902188966001e-16
3041.77292149	-1.3466999346734067e-17	-1.3466999346734067e-17	6.794831750289e-16
3041.97290494	-3.356604061035229e-16	-3.356604061035229e-16	6.673501968515998e-16
3042.17288839	-5.367898047182816e-16	-5.367898047182816e-16	6.673312809508001e-16
3042.37287184	-1.8248557509228858e-16	-1.8248557509228858e-16	6.609228279885002e-16
3042.57285529	2.331520010211836e-16	2.331520010211836e-16	6.762076486530999e-16
3042.77283874	6.546523082140846e-17	6.546523082140846e-17	6.829724492648998e-16
3042.97282219	-4.886873992755151e-16	-4.886873992755151e-16	6.448491253784998e-16
3043.17280565	7.698173236359333e-17	7.698173236359333e-17	6.340567215165e-16
3043.3727891	-2.107506399690705e-16	-2.107506399690705e-16	5.768302141497998e-16
3043.57277255	-1.2894635633283742e-16	-1.2894635633283742e-16	5.930053126182e-16
3043.772756	-8.779013211511185e-17	-8.779013211511185e-17	5.9418185442e-16
3043.97273945	-5.907247780883055e-17	-5.907247780883055e-17	5.997081228226001e-16
