wavelength	flux
5417.3	2.6277596e-16
5419.3	2.6586593e-16
5421.3	2.654079e-16
5423.2	2.5352898e-16
5425.2	2.6249921e-16
5427.2	2.6440113e-16
5429.2	2.4362914e-16
5431.2	2.4447478e-16
5433.2	2.6305232e-16
5435.1	2.665005e-16
5437.1	2.6054854e-16
5439.1	2.693116e-16
5441.1	2.5491167e-16
5443.1	2.5855444e-16
5445.0	2.5579981e-16
5447.0	2.6063995e-16
5449.0	2.6465056e-16
5451.0	2.5785736e-16
5453.0	2.7470037e-16
5454.9	2.6883993e-16
5456.9	2.5157617e-16
5458.9	2.601733e-16
5460.9	2.7726094e-16
5462.9	2.6440114e-16
5464.8	2.5713882e-16
5466.8	2.7229158e-16
5468.8	2.7404146e-16
5470.8	2.6832583e-16
5472.8	2.6350026e-16
5474.7	2.6185575e-16
5476.7	2.5979959e-16
5478.7	2.5330812e-16
5480.7	2.6058869e-16
5482.7	2.5629592e-16
5484.7	2.5320649e-16
5486.6	2.5995731e-16
5488.6	2.6977619e-16
5490.6	2.6745467e-16
5492.6	2.5661492e-16
5494.6	2.5773175e-16
5496.5	2.5573832e-16
5498.5	2.6657345e-16
5500.5	2.6470071e-16
5502.5	2.6425802e-16
5504.5	2.6749238e-16
5506.4	2.5302431e-16
5508.4	2.4971759e-16
5510.4	2.5806252e-16
5512.4	2.545744e-16
5514.4	2.5219951e-16
5516.3	2.5915161e-16
5518.3	2.7989467e-16
5520.3	2.7265795e-16
5522.3	2.5622281e-16
5524.3	2.5760985e-16
5526.2	2.5811347e-16
5528.2	2.6054675e-16
5530.2	2.6180901e-16
5532.2	2.6889284e-16
5534.2	2.5750614e-16
5536.1	2.5185618e-16
5538.1	2.5775527e-16
5540.1	2.5544037e-16
5542.1	2.5366722e-16
5544.1	2.6461654e-16
5546.1	2.6365797e-16
5548.0	2.6792532e-16
5550.0	2.7488498e-16
5552.0	2.6504564e-16
5554.0	2.6041523e-16
5556.0	2.6353024e-16
5557.9	2.6189242e-16
5559.9	2.5691339e-16
5561.9	2.6276357e-16
5563.9	2.6423454e-16
5565.9	2.5773422e-16
5567.8	2.6113705e-16
5569.8	2.6454415e-16
5571.8	2.5841424e-16
5573.8	2.6100069e-16
5575.8	2.6113111e-16
5577.7	2.6370157e-16
5579.7	2.6900183e-16
5581.7	2.49882e-16
5583.7	2.3963109e-16
5585.7	2.574279e-16
5587.6	2.6456593e-16
5589.6	2.5213315e-16
5591.6	2.4327302e-16
5593.6	2.526786e-16
5595.6	2.6603189e-16
5597.6	2.64055e-16
5599.5	2.5013706e-16
5601.5	2.4381051e-16
5603.5	2.5190799e-16
5605.5	2.5625364e-16
5607.5	2.5706522e-16
5609.4	2.6482735e-16
5611.4	2.7478822e-16
5613.4	2.7643323e-16
5615.4	2.7469013e-16
5617.4	2.6893509e-16
5619.3	2.5974773e-16
5621.3	2.6138075e-16
5623.3	2.6884079e-16
5625.3	2.7061051e-16
5627.3	2.7584531e-16
5629.2	2.6708862e-16
5631.2	2.4856048e-16
5633.2	2.5288514e-16
5635.2	2.539232e-16
5637.2	2.5382592e-16
5639.1	2.5423653e-16
5641.1	2.5639459e-16
5643.1	2.6024717e-16
